ID Polygon,Musigma,X1,Y1,Z1,Y2,Z2,X2,X3,Y3,Z3
62,4.1581344604,110.8709804777,31,-1.17505e-05,30.7588844561,-1.17877e-05,110.861301184,110.810713699,30.7507252816,-1.17812e-05
63,0.0,110.9061394533,31,-1.17552e-05,30.7645455182,-1.17915e-05,110.8964771619,110.8461694052,30.7564460837,-1.17859e-05
64,0.0,110.9411083462,31,-1.17598e-05,30.7701658733,-1.17943e-05,110.9314629599,110.8814282767,30.7621248654,-1.17905e-05
65,0.0,110.9528333679,31,-1.17626e-05,30.7720481158,-1.17961e-05,110.9431936487,110.9164950095,30.7677625534,-1.17952e-05
66,7.2174911499,110.6122623386,31,-1.1744e-05,30.7491284153,-1.17794e-05,110.602458412,110.5496851087,30.7405100444,-1.17747e-05
67,7.2174911499,110.6489042977,31,-1.17486e-05,30.7551017809,-1.1784e-05,110.6391181607,110.5866793202,30.7465539488,-1.17794e-05
68,7.2174911499,110.685319679,31,-1.17533e-05,30.7610272353,-1.17887e-05,110.6755512136,110.6234380546,30.7525482089,-1.1784e-05
69,8.0612630844,110.721514325,31,-1.17579e-05,30.7669059321,-1.17915e-05,110.7117634164,110.6599675138,30.7584940486,-1.17877e-05
70,5.6327309608,110.7574938457,31,-1.17607e-05,30.7727389791,-1.17971e-05,110.7477603824,110.6962736474,30.7643926421,-1.17915e-05
71,5.6327309608,110.7932636311,31,-1.17654e-05,30.7785274407,-1.18008e-05,110.7835475047,110.7323621666,30.7702451166,-1.17961e-05
72,5.6327309608,110.8288288631,31,-1.17701e-05,30.78427234,-1.18045e-05,110.819129968,110.7682385573,30.7760525548,-1.17999e-05
73,5.0696105957,110.8641945264,31,-1.17728e-05,30.7899746615,-1.18082e-05,110.85451276,110.8039080923,30.7818159972,-1.18027e-05
74,3.4205436707,110.8993654187,31,-1.17756e-05,30.7956353524,-1.1812e-05,110.8897006809,110.8393758424,30.7875364447,-1.18082e-05
75,0.0,110.9343461601,31,-1.17803e-05,30.8012553251,-1.18166e-05,110.9246983536,110.8746466867,30.79321486,-1.1811e-05
76,0.0,110.9460751538,31,-1.1784e-05,30.8031374364,-1.18194e-05,110.9364330232,110.9097253232,30.7988521704,-1.18157e-05
77,5.1103034019,110.6053890343,31,-1.17654e-05,30.7802206145,-1.18027e-05,110.5955824391,110.5427911364,30.771602627,-1.17961e-05
78,5.1323199272,110.6420434619,31,-1.1771e-05,30.7861936956,-1.18073e-05,110.632254684,110.5797979668,30.7776462659,-1.17999e-05
79,5.1346230507,110.6784712289,31,-1.17738e-05,30.7921188525,-1.1811e-05,110.66870015,110.6165692337,30.7836402471,-1.18045e-05
80,8.0031881332,110.7146781803,31,-1.17784e-05,30.797997239,-1.18148e-05,110.7049246855,110.6531111413,30.7895857948,-1.18092e-05
81,11.1010417938,110.7506699281,31,-1.17822e-05,30.8038299633,-1.18185e-05,110.7409339057,110.6894296418,30.7954840835,-1.18129e-05
82,11.1010417938,110.7864518647,31,-1.17868e-05,30.8096180901,-1.18222e-05,110.776733206,110.7255304485,30.8013362406,-1.18185e-05
83,5.0696105957,110.8220291739,31,-1.17896e-05,30.8153626426,-1.18259e-05,110.8123277733,110.7614190497,30.8071433491,-1.18203e-05
84,5.0696105957,110.8574068424,31,-1.17943e-05,30.8210646056,-1.18306e-05,110.847722597,110.7971007202,30.8129064499,-1.18259e-05
85,5.4072995186,110.8925896698,31,-1.1798e-05,30.8267249266,-1.18352e-05,110.8829224795,110.8325805327,30.8186265438,-1.18287e-05
86,0.0,110.9275822781,31,-1.18008e-05,30.8323445181,-1.1839e-05,110.9179320453,110.8678633685,30.8243045941,-1.18325e-05
87,0.0,110.93931525,31,-1.18064e-05,30.8342264986,-1.18399e-05,110.9296707019,110.9029539272,30.8299415281,-1.18371e-05
88,5.1103034019,110.5985138599,31,-1.17877e-05,30.8113125434,-1.1825e-05,110.5887045898,110.5358952597,30.8026949374,-1.18185e-05
89,5.1103034019,110.6351807754,31,-1.17915e-05,30.8172853413,-1.18278e-05,110.6253893502,110.5729147288,30.8087383122,-1.18213e-05
90,5.1103034019,110.6716209474,31,-1.17971e-05,30.8232102019,-1.18334e-05,110.6618472488,110.6096985475,30.8147320157,-1.18259e-05
91,5.1103034019,110.7078402232,31,-1.17999e-05,30.8290882795,-1.18371e-05,110.6980841359,110.646252923,30.8206772727,-1.18315e-05
92,6.3256559372,110.7438442172,31,-1.18045e-05,30.8349206825,-1.18399e-05,110.7341056294,110.6825838094,30.8265752579,-1.18352e-05
93,4.9586634636,110.7796383237,31,-1.18073e-05,30.8407084756,-1.18446e-05,110.7699171267,110.7186969228,30.832427099,-1.1838e-05
94,6.3256559372,110.8152277289,31,-1.1812e-05,30.8464526827,-1.18492e-05,110.8055238167,110.7545977534,30.8382338791,-1.18436e-05
95,5.8874206543,110.8506174212,31,-1.18176e-05,30.8521542884,-1.1852e-05,110.8409306909,110.7902915781,30.8439966394,-1.18464e-05
96,4.5480270386,110.8858122023,31,-1.18203e-05,30.8578142406,-1.18567e-05,110.8761425534,110.8257834718,30.8497163811,-1.18511e-05
97,0.0,110.9208166959,31,-1.18259e-05,30.8634334521,-1.18613e-05,110.9111640308,110.8610783176,30.8553940675,-1.18539e-05
98,0.0,110.9325536521,31,-1.18278e-05,30.8653153022,-1.18604e-05,110.9229066805,110.896180817,30.8610306263,-1.18585e-05
99,3.9871032238,110.5916368111,31,-1.18082e-05,30.8424042016,-1.18455e-05,110.5818248596,110.5289974741,30.8337869752,-1.18399e-05
100,7.5818343163,110.6283162338,31,-1.1812e-05,30.8483767176,-1.18501e-05,110.6185221551,110.5660296014,30.8398300871,-1.18427e-05
101,7.5818343163,110.6647688301,31,-1.18176e-05,30.8543012834,-1.18548e-05,110.6549925054,110.6028259916,30.8458235145,-1.18483e-05
102,7.5818343163,110.7010004494,31,-1.18203e-05,30.8601790533,-1.18585e-05,110.6912417635,110.6393928542,30.8517684821,-1.18511e-05
103,6.3117628098,110.7370167086,31,-1.18269e-05,30.8660111362,-1.18623e-05,110.7272755493,110.675736146,30.8576661651,-1.18567e-05
104,5.8874206543,110.772823004,31,-1.18297e-05,30.871798597,-1.1865e-05,110.7630992624,110.7118615851,30.8635176913,-1.18595e-05
105,4.8549795151,110.8084245239,31,-1.18343e-05,30.8775424597,-1.18706e-05,110.7987180939,110.747774664,30.8693241443,-1.18641e-05
106,5.4498105049,110.8438262587,31,-1.1838e-05,30.8832437094,-1.18734e-05,110.8341370372,110.7834806619,30.8750865655,-1.18688e-05
107,4.5480270386,110.8790330119,31,-1.18408e-05,30.8889032941,-1.18781e-05,110.8693608984,110.8189846554,30.8808059561,-1.18716e-05
108,0.0,110.9140494093,31,-1.18455e-05,30.8945221267,-1.18809e-05,110.9043943058,110.8542915298,30.8864832799,-1.18772e-05
109,0.0,110.9257903559,31,-1.18483e-05,30.8964038468,-1.18827e-05,110.9161409548,110.8894059885,30.8921194646,-1.188e-05
110,0.0,110.5847578832,31,-1.18306e-05,30.8734955891,-1.1866e-05,110.5749432441,110.5220977752,30.8648787402,-1.18623e-05
111,8.1143007278,110.6214498327,31,-1.18343e-05,30.8794678245,-1.18725e-05,110.611653094,110.5591425804,30.8709215907,-1.1866e-05
112,6.2476010323,110.6579148725,31,-1.1839e-05,30.8853920966,-1.18753e-05,110.6481359155,110.5959515615,30.8769147432,-1.18697e-05
113,6.2476010323,110.6941588546,31,-1.18427e-05,30.8912695603,-1.1879e-05,110.6843975637,110.6325309306,30.8828594228,-1.18734e-05
