Point,Musigma,velocity,Coherence,Hcorr,range,azimuth,X,Y,Z
211,6.9927740097,-2.5270104408,0.8455652595,2.9956145287,6156.0,4597.0,110.6197334344,31.1025965202,693.7609945415
212,6.9927740097,-2.5270104408,0.8455652595,2.9956145287,6156.0,4597.0,110.6197334344,31.1025965202,693.7609945415
213,9.10916996,-0.0083258506,0.9939438701,1.5259506702,8772.0,4548.0,110.6766011632,31.1054912709,655.0723147001
214,9.10916996,-0.0083258506,0.9939438701,1.5259506702,8772.0,4548.0,110.6766011632,31.1054912709,655.0723147001
215,9.10916996,-0.0083258506,0.9939438701,1.5259506702,8772.0,4548.0,110.6766011632,31.1054912709,655.0723147001
216,15.8847417831,-0.4101814032,0.9980057478,-0.449246645,12731.0,5064.0,110.7411432808,31.182042047,291.0895990133
217,10.6624889374,-0.4137138128,0.9883300662,-2.9808247089,12731.0,5065.0,110.7412211896,31.1821826663,298.1378318844
218,6.4245648384,1.7624722719,0.7867775559,11.9017868042,12865.0,5006.0,110.7438684828,31.1750443553,178.4122283058
219,5.2336182594,1.4321098328,0.5518120527,-2.6990280151,16467.0,4566.0,110.8315167489,31.1326759542,188.5953686573
220,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
221,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
222,5.7260890007,-2.3934936523,0.4950746596,4.306640625,7044.0,4863.0,110.635198337,31.1392119005,930.757811497
223,8.2421331406,-2.8489761353,0.5006266832,7.2140197754,7359.0,4969.0,110.6392452301,31.1534607317,942.6878209794
224,7.4077663422,-0.6516189575,0.5673735142,8.4593582153,7276.0,4917.0,110.6391594619,31.1467769831,960.6588326059
225,4.5822691917,0.6416527033,0.9423717856,1.9403483868,12688.0,5059.0,110.7402283304,31.1812543405,281.5067467541
226,4.5822691917,0.6416527033,0.9423717856,1.9403483868,12688.0,5059.0,110.7402283304,31.1812543405,281.5067467541
227,15.8847417831,-0.4101814032,0.9980057478,-0.449246645,12731.0,5064.0,110.7411432808,31.182042047,291.0895990133
228,4.5822691917,0.6416527033,0.9423717856,1.9403483868,12688.0,5059.0,110.7402283304,31.1812543405,281.5067467541
229,6.9932293892,0.6441708803,0.8436260819,4.4882426262,13122.0,5017.0,110.7489379732,31.1772678007,174.7374128774
230,5.2336182594,1.4321098328,0.5518120527,-2.6990280151,16467.0,4566.0,110.8315167489,31.1326759542,188.5953686573
